="",="(1)",="(2)",="(3)",="(4)"
="",="logcase",="logcase",="case",="case"

="Wheat prod. (90s)*log(price)",="-0.0366***",="-0.0151***",="-0.0763***",="-0.0327***"
="",="(0.0101)",="(0.0042)",="(0.0225)",="(0.0103)"

="Oats prod. (90s)*log(price)",="0.0113*",="0.0116**",="0.0200",="0.0201*"
="",="(0.0055)",="(0.0051)",="(0.0121)",="(0.0104)"

="Soybean prod. (90s)*log(price)",="-0.0203",="-0.0289**",="-0.0080",="-0.0396"
="",="(0.0143)",="(0.0137)",="(0.0346)",="(0.0249)"

="Coffee prod. (90s)*log(price)",="-0.0124",="-0.0093",="-0.0188",="-0.0123"
="",="(0.0078)",="(0.0089)",="(0.0172)",="(0.0205)"

="Cotton prod. (90s)*log(price)",="0.0140*",="0.0183*",="0.0365",="0.0409"
="",="(0.0081)",="(0.0100)",="(0.0388)",="(0.0453)"

="Wood prod. (90s)*log(price)",="-0.0663***",="-0.0528***",="-0.2547***",="-0.2305***"
="",="(0.0064)",="(0.0047)",="(0.0227)",="(0.0206)"

="Rubber prod. (90s)*log(price)",="0.0030",="0.0039",="0.0116",="0.0207*"
="",="(0.0079)",="(0.0033)",="(0.0172)",="(0.0119)"

="Rice prod. (90s)*log(price)",="0.0073",="0.0102",="0.0344",="0.0504"
="",="(0.0191)",="(0.0147)",="(0.0394)",="(0.0366)"

="Cocoa prod. (90s)*log(price)",="0.0181***",="0.0121***",="0.0053",="-0.0063"
="",="(0.0023)",="(0.0021)",="(0.0174)",="(0.0104)"

="Sugarcane prod. (90s)*log(price)",="0.0079",="0.0183",="0.1563",="0.1958"
="",="(0.0160)",="(0.0128)",="(0.1672)",="(0.1794)"

="Corn prod. (90s)*log(price)",="0.0420***",="0.0514***",="0.0548",="0.0824**"
="",="(0.0129)",="(0.0122)",="(0.0420)",="(0.0393)"

="Cattle heads (90s)*log(live cattle price)",="0.4692***",="0.3923**",="0.8108*",="0.9219"
="",="(0.1377)",="(0.1421)",="(0.4380)",="(0.6031)"

="Cattle heads (90s)*log(feeder cattle price)",="-0.3788***",="-0.3003**",="-0.8877",="-1.0621"
="",="(0.1314)",="(0.1252)",="(0.5354)",="(0.7059)"

="Observations",="96026",="96026",="96026",="96026"
="R2",="0.201",="0.258",="0.126",="0.152"
="Controls",="NO",="NO",="YES",="YES"
="Mun FE",="",="",="",=""
="Year FE",="",="",="",=""
="State linear time trend",="",="",="",=""
="mean(outcome)",="",="",="",=""
